TF	Targets	Key
FUBP1	MYC	FUBP1_MYC
FUBP3	FGF9	FUBP3_FGF9
FUS	AR	FUS_AR
FUS	DDIT3	FUS_DDIT3
FUS	KLK3	FUS_KLK3
FUS	MDM2	FUS_MDM2
GABPA	ERBB2	GABPA_ERBB2
GABPA	OXTR	GABPA_OXTR
GABPA	RPS3A	GABPA_RPS3A
GABPA	TOMM70	GABPA_TOMM70
GABPA	ZNF205	GABPA_ZNF205
GABPB1	OXTR	GABPB1_OXTR
GABPB2	RPS3A	GABPB2_RPS3A
GATA1	AGGF1	GATA1_AGGF1
GATA1	ALAS2	GATA1_ALAS2
GATA1	BACE1	GATA1_BACE1
GATA1	BACH1	GATA1_BACH1
GATA1	BDKRB1	GATA1_BDKRB1
GATA1	BST2	GATA1_BST2
GATA1	CBFB	GATA1_CBFB
GATA1	CCR3	GATA1_CCR3
GATA1	CDA	GATA1_CDA
GATA1	CDC6	GATA1_CDC6
GATA1	CEBPA	GATA1_CEBPA
GATA1	COPS5	GATA1_COPS5
GATA1	CYBB	GATA1_CYBB
GATA1	DACH1	GATA1_DACH1
GATA1	DICER1	GATA1_DICER1
GATA1	DPYSL2	GATA1_DPYSL2
GATA1	EPO	GATA1_EPO
GATA1	EPOR	GATA1_EPOR
GATA1	F13A1	GATA1_F13A1
GATA1	FCER1A	GATA1_FCER1A
GATA1	FLI1	GATA1_FLI1
GATA1	FURIN	GATA1_FURIN
GATA1	GATA1	GATA1_GATA1
GATA1	GFI1B	GATA1_GFI1B
GATA1	GNAS	GATA1_GNAS
GATA1	GP1BB	GATA1_GP1BB
GATA1	GP6	GATA1_GP6
GATA1	GP9	GATA1_GP9
GATA1	GYPB	GATA1_GYPB
GATA1	HBA1	GATA1_HBA1
GATA1	HBA2	GATA1_HBA2
GATA1	HBB	GATA1_HBB
GATA1	HBE1	GATA1_HBE1
GATA1	HBG1	GATA1_HBG1
GATA1	HEMGN	GATA1_HEMGN
GATA1	PBXIP1	GATA1_PBXIP1
GATA1	IFNG	GATA1_IFNG
GATA1	IL1RL1	GATA1_IL1RL1
GATA1	ITGA2B	GATA1_ITGA2B
GATA1	KLF1	GATA1_KLF1
GATA1	LTBP4	GATA1_LTBP4
GATA1	MPL	GATA1_MPL
GATA1	MUC1	GATA1_MUC1
GATA1	NFE2	GATA1_NFE2
GATA1	PF4	GATA1_PF4
GATA1	PPOX	GATA1_PPOX
GATA1	PRG2	GATA1_PRG2
GATA1	PTGFR	GATA1_PTGFR
GATA1	RUNX1	GATA1_RUNX1
GATA1	SEMG1	GATA1_SEMG1
GATA1	SMAD1	GATA1_SMAD1
GATA1	SPI1	GATA1_SPI1
GATA1	ST2	GATA1_ST2
GATA1	TAL1	GATA1_TAL1
GATA1	TBXA2R	GATA1_TBXA2R
GATA1	WT1	GATA1_WT1
GATA1	ZNF268	GATA1_ZNF268
GATA2	ADH1A	GATA2_ADH1A
GATA2	ANGPT2	GATA2_ANGPT2
GATA2	AR	GATA2_AR
GATA2	CYBB	GATA2_CYBB
GATA2	DPYSL2	GATA2_DPYSL2
GATA2	EPO	GATA2_EPO
GATA2	ERVW-1	GATA2_ERVW-1
GATA2	FCER1A	GATA2_FCER1A
GATA2	GATA1	GATA2_GATA1
GATA2	IL1RL1	GATA2_IL1RL1
GATA2	MS4A2	GATA2_MS4A2
GATA2	NOS3	GATA2_NOS3
GATA2	PECAM1	GATA2_PECAM1
GATA2	PPARG	GATA2_PPARG
GATA2	PRG2	GATA2_PRG2
GATA2	SPI1	GATA2_SPI1
GATA2	ST2	GATA2_ST2
GATA2	TSHB	GATA2_TSHB
GATA2	WT1	GATA2_WT1
GATA3	ALDH1A2	GATA3_ALDH1A2
GATA3	CD40LG	GATA3_CD40LG
GATA3	CD8A	GATA3_CD8A
GATA3	CD8B	GATA3_CD8B
GATA3	CDH1	GATA3_CDH1
GATA3	CDH3	GATA3_CDH3
GATA3	CDX2	GATA3_CDX2
GATA3	CHST4	GATA3_CHST4
GATA3	CXCL1	GATA3_CXCL1
GATA3	EPO	GATA3_EPO
GATA3	EPOR	GATA3_EPOR
GATA3	ERG	GATA3_ERG
GATA3	ERVW-1	GATA3_ERVW-1
GATA3	ESR1	GATA3_ESR1
GATA3	FOXC1	GATA3_FOXC1
GATA3	FOXC2	GATA3_FOXC2
GATA3	FUT7	GATA3_FUT7
GATA3	GATA3	GATA3_GATA3
GATA3	HSD17B1	GATA3_HSD17B1
GATA3	IFNG	GATA3_IFNG
GATA3	IL10	GATA3_IL10
GATA3	IL12RB2	GATA3_IL12RB2
GATA3	IL4	GATA3_IL4
GATA3	IL5	GATA3_IL5
GATA3	KLK1	GATA3_KLK1
GATA3	LOX	GATA3_LOX
GATA3	MMP1	GATA3_MMP1
GATA3	MUC1	GATA3_MUC1
GATA3	NFKB1	GATA3_NFKB1
GATA3	PAEP	GATA3_PAEP
GATA3	RELA	GATA3_RELA
GATA3	SLCO4C1	GATA3_SLCO4C1
GATA3	STAT4	GATA3_STAT4
GATA3	TCF7L2	GATA3_TCF7L2
GATA3	TEK	GATA3_TEK
GATA3	TGFBR3	GATA3_TGFBR3
GATA3	TRA	GATA3_TRA
GATA3	ZEB1	GATA3_ZEB1
GATA4	AMH	GATA4_AMH
GATA4	CCND2	GATA4_CCND2
GATA4	CYP17A1	GATA4_CYP17A1
GATA4	ERBB2	GATA4_ERBB2
GATA4	FABP2	GATA4_FABP2
GATA4	FCGR2B	GATA4_FCGR2B
GATA4	FCGR3B	GATA4_FCGR3B
GATA4	FGF10	GATA4_FGF10
GATA4	HAMP	GATA4_HAMP
GATA4	HDAC9	GATA4_HDAC9
GATA4	IAPP	GATA4_IAPP
GATA4	IL5	GATA4_IL5
GATA4	NOS3	GATA4_NOS3
GATA4	NPPA	GATA4_NPPA
GATA4	NPPB	GATA4_NPPB
GATA4	SGPL1	GATA4_SGPL1
GATA4	SI	GATA4_SI
GATA4	STAR	GATA4_STAR
GATA4	SUMO1	GATA4_SUMO1
GATA5	SLC5A1	GATA5_SLC5A1
GATA6	APOA1	GATA6_APOA1
GATA6	CAV1	GATA6_CAV1
GATA6	CYP11A1	GATA6_CYP11A1
GATA6	CYP17A1	GATA6_CYP17A1
GATA6	DAB2	GATA6_DAB2
GATA6	DKK1	GATA6_DKK1
GATA6	PLAU	GATA6_PLAU
GATA6	SULT2A1	GATA6_SULT2A1
GATA6	VWF	GATA6_VWF
GBX2	IL6	GBX2_IL6
GCM1	ERVFRD-1	GCM1_ERVFRD-1
GCM1	ERVW-1	GCM1_ERVW-1
GCM1	MFSD2A	GCM1_MFSD2A
GCM1	PGF	GCM1_PGF
GCM2	CASR	GCM2_CASR
GCM2	PTH	GCM2_PTH
GFI1	BAX	GFI1_BAX
GFI1	CDKN1A	GFI1_CDKN1A
GFI1	CYP27B1	GFI1_CYP27B1
GFI1	ELANE	GFI1_ELANE
GFI1	GUCY1B1	GFI1_GUCY1B1
GFI1	NF1	GFI1_NF1
GFI1B	MEF2C	GFI1B_MEF2C
GLI1	AKT1	GLI1_AKT1
GLI1	BCL2	GLI1_BCL2
GLI1	BHLHE41	GLI1_BHLHE41
GLI1	CDK2	GLI1_CDK2
GLI1	CYR61	GLI1_CYR61
GLI1	EGR2	GLI1_EGR2
GLI1	FAS	GLI1_FAS
GLI1	H2AFX	GLI1_H2AFX
GLI1	IL1R2	GLI1_IL1R2
GLI1	JUN	GLI1_JUN
GLI1	MUC5AC	GLI1_MUC5AC
GLI1	PDGFRA	GLI1_PDGFRA
GLI1	S100A7	GLI1_S100A7
GLI1	S100A9	GLI1_S100A9
GLI1	SFRP1	GLI1_SFRP1
GLI1	SMAD4	GLI1_SMAD4
GLI1	SOCS1	GLI1_SOCS1
GLI1	SOX9	GLI1_SOX9
GLI1	TNFRSF10B	GLI1_TNFRSF10B
GLI2	BCL2	GLI2_BCL2
GLI2	BHLHE41	GLI2_BHLHE41
GLI2	CDH1	GLI2_CDH1
GLI2	FAS	GLI2_FAS
GLI2	FOXA2	GLI2_FOXA2
GLI2	FOXC2	GLI2_FOXC2
GLI2	FOXE1	GLI2_FOXE1
GLI2	FOXF1	GLI2_FOXF1
GLI2	FOXL1	GLI2_FOXL1
GLI2	FST	GLI2_FST
GLI2	H2AFX	GLI2_H2AFX
GLI2	IFITM5	GLI2_IFITM5
GLI2	JUN	GLI2_JUN
GLI2	MUC5AC	GLI2_MUC5AC
GLI2	PDGFRA	GLI2_PDGFRA
GLI2	SOCS1	GLI2_SOCS1
GLI2	TNFRSF10B	GLI2_TNFRSF10B
GLI2	WNT2B	GLI2_WNT2B
GLI3	HLA-G	GLI3_HLA-G
GLI3	SMO	GLI3_SMO
GLI3	VMP1	GLI3_VMP1
GLIS3	INS	GLIS3_INS
GRHL1	CYP11A1	GRHL1_CYP11A1
GSC	GSC2	GSC_GSC2
GTF2A1	TBP	GTF2A1_TBP
GTF2B	BDKRB1	GTF2B_BDKRB1
GTF2F1	BGLAP	GTF2F1_BGLAP
GTF2I	DNAAF4	GTF2I_DNAAF4
GTF2I	HSPA5	GTF2I_HSPA5
GTF2I	SIRT1	GTF2I_SIRT1
GTF3A	ADM	GTF3A_ADM
GTF3A	BAG3	GTF3A_BAG3
GTF3A	FUS	GTF3A_FUS
GTF3A	RAD51B	GTF3A_RAD51B
GTF3A	STAT1	GTF3A_STAT1
GZF1	HOXA10	GZF1_HOXA10
HAND2	DBH	HAND2_DBH
HAND2	GATA4	HAND2_GATA4
HAND2	NPPA	HAND2_NPPA
HAND2	PHOX2A	HAND2_PHOX2A
HAX1	ATP2A2	HAX1_ATP2A2
HBP1	CDKN1A	HBP1_CDKN1A
HBP1	DNMT1	HBP1_DNMT1
HBP1	MIF	HBP1_MIF
HBP1	NCF1	HBP1_NCF1
HCFC1	E2F1	HCFC1_E2F1
HCFC1	E2F4	HCFC1_E2F4
HCFC1	MMACHC	HCFC1_MMACHC
HDAC1	ABCB1	HDAC1_ABCB1
HDAC1	ALOX15	HDAC1_ALOX15
HDAC1	APOC3	HDAC1_APOC3
HDAC1	AR	HDAC1_AR
HDAC1	BAMBI	HDAC1_BAMBI
HDAC1	BCL2A1	HDAC1_BCL2A1
HDAC1	BIRC3	HDAC1_BIRC3
HDAC1	BIRC5	HDAC1_BIRC5
HDAC1	BRCA2	HDAC1_BRCA2
HDAC1	CCND1	HDAC1_CCND1
HDAC1	CCND2	HDAC1_CCND2
HDAC1	CD1D	HDAC1_CD1D
HDAC1	CD44	HDAC1_CD44
HDAC1	CD82	HDAC1_CD82
HDAC1	CDH1	HDAC1_CDH1
HDAC1	CDKN1A	HDAC1_CDKN1A
HDAC1	CDKN2A	HDAC1_CDKN2A
HDAC1	CLDN7	HDAC1_CLDN7
HDAC1	COL1A2	HDAC1_COL1A2
HDAC1	CXCL8	HDAC1_CXCL8
HDAC1	CYP3A4	HDAC1_CYP3A4
HDAC1	DEFB1	HDAC1_DEFB1
HDAC1	DNMT1	HDAC1_DNMT1
HDAC1	E2F1	HDAC1_E2F1
HDAC1	EGFR	HDAC1_EGFR
HDAC1	EGR1	HDAC1_EGR1
HDAC1	EIF2AK1	HDAC1_EIF2AK1
HDAC1	EPCAM	HDAC1_EPCAM
HDAC1	ESR1	HDAC1_ESR1
HDAC1	FOS	HDAC1_FOS
HDAC1	GAD1	HDAC1_GAD1
HDAC1	GRIN2B	HDAC1_GRIN2B
HDAC1	HLA-DRA	HDAC1_HLA-DRA
HDAC1	HMGCS1	HDAC1_HMGCS1
HDAC1	HSPA5	HDAC1_HSPA5
HDAC1	ICAM1	HDAC1_ICAM1
HDAC1	IGFBP3	HDAC1_IGFBP3
HDAC1	IL2	HDAC1_IL2
HDAC1	KLF4	HDAC1_KLF4
HDAC1	MGMT	HDAC1_MGMT
HDAC1	MICA	HDAC1_MICA
HDAC1	MICB	HDAC1_MICB
HDAC1	MMP28	HDAC1_MMP28
HDAC1	MMP9	HDAC1_MMP9
HDAC1	NFKB1	HDAC1_NFKB1
HDAC1	NOS3	HDAC1_NOS3
HDAC1	PCNA	HDAC1_PCNA
HDAC1	PHB	HDAC1_PHB
HDAC1	POU5F1	HDAC1_POU5F1
HDAC1	PSIP1	HDAC1_PSIP1
HDAC1	PTGS2	HDAC1_PTGS2
HDAC1	RARB	HDAC1_RARB
HDAC1	RECK	HDAC1_RECK
HDAC1	RECQL4	HDAC1_RECQL4
HDAC1	RELN	HDAC1_RELN
HDAC1	RGS10	HDAC1_RGS10
HDAC1	RHOB	HDAC1_RHOB
HDAC1	RUNX3	HDAC1_RUNX3
HDAC1	SERPINB5	HDAC1_SERPINB5
HDAC1	SFRP1	HDAC1_SFRP1
HDAC1	SMAD7	HDAC1_SMAD7
HDAC1	SNAI2	HDAC1_SNAI2
HDAC1	SP1	HDAC1_SP1
HDAC1	SPP1	HDAC1_SPP1
HDAC1	STAT3	HDAC1_STAT3
HDAC1	TERT	HDAC1_TERT
HDAC1	TFF1	HDAC1_TFF1
HDAC1	TJP1	HDAC1_TJP1
HDAC1	TNFRSF10A	HDAC1_TNFRSF10A
HDAC1	TP53	HDAC1_TP53
HDAC1	TXNIP	HDAC1_TXNIP
HDAC10	TXNIP	HDAC10_TXNIP
HDAC11	IL10	HDAC11_IL10
HDAC11	IL17A	HDAC11_IL17A
HDAC11	MYC	HDAC11_MYC
HDAC11	TNF	HDAC11_TNF
HDAC11	TNFSF4	HDAC11_TNFSF4
HDAC2	ALOX5	HDAC2_ALOX5
HDAC2	APAF1	HDAC2_APAF1
HDAC2	BMP7	HDAC2_BMP7
HDAC2	CAD	HDAC2_CAD
HDAC2	CCL2	HDAC2_CCL2
HDAC2	CCNE1	HDAC2_CCNE1
HDAC2	CD1D	HDAC2_CD1D
HDAC2	CDH1	HDAC2_CDH1
HDAC2	CDKN1A	HDAC2_CDKN1A
HDAC2	COL1A2	HDAC2_COL1A2
HDAC2	CXCL8	HDAC2_CXCL8
HDAC2	1-Dec	HDAC2_1-Dec
HDAC2	DNMT1	HDAC2_DNMT1
HDAC2	GRM2	HDAC2_GRM2
HDAC2	IGF1	HDAC2_IGF1
HDAC2	KLF4	HDAC2_KLF4
HDAC2	MUC5AC	HDAC2_MUC5AC
HDAC2	MYC	HDAC2_MYC
HDAC2	MYCN	HDAC2_MYCN
HDAC2	PHB	HDAC2_PHB
HDAC2	SNAI2	HDAC2_SNAI2
HDAC2	SP1	HDAC2_SP1
HDAC2	TGFBR2	HDAC2_TGFBR2
HDAC2	TNFSF10	HDAC2_TNFSF10
HDAC2	TP63	HDAC2_TP63
HDAC2	TWIST1	HDAC2_TWIST1
HDAC2	VEGFA	HDAC2_VEGFA
HDAC3	ALOX5	HDAC3_ALOX5
HDAC3	APOC3	HDAC3_APOC3
HDAC3	CDH1	HDAC3_CDH1
HDAC3	CDKN2A	HDAC3_CDKN2A
HDAC3	CXCR4	HDAC3_CXCR4
HDAC3	EGFR	HDAC3_EGFR
HDAC3	GAS2	HDAC3_GAS2
HDAC3	GATA2	HDAC3_GATA2
HDAC3	GCM1	HDAC3_GCM1
HDAC3	GRHL1	HDAC3_GRHL1
HDAC3	GTF2I	HDAC3_GTF2I
HDAC3	IFNA1	HDAC3_IFNA1
HDAC3	JUN	HDAC3_JUN
HDAC3	LGALS9	HDAC3_LGALS9
HDAC3	LSS	HDAC3_LSS
HDAC3	MBD1	HDAC3_MBD1
HDAC3	MMP2	HDAC3_MMP2
HDAC3	MYC	HDAC3_MYC
HDAC3	PCK2	HDAC3_PCK2
HDAC3	PRAM1	HDAC3_PRAM1
HDAC3	TLR9	HDAC3_TLR9
HDAC3	TNF	HDAC3_TNF
HDAC3	ULBP1	HDAC3_ULBP1
HDAC3	VEGFA	HDAC3_VEGFA
HDAC4	ATF4	HDAC4_ATF4
HDAC4	CA9	HDAC4_CA9
HDAC4	CDKN1A	HDAC4_CDKN1A
HDAC4	CDKN2A	HDAC4_CDKN2A
HDAC4	HDAC3	HDAC4_HDAC3
HDAC4	HOXB13	HDAC4_HOXB13
HDAC4	IL10	HDAC4_IL10
HDAC4	IL5	HDAC4_IL5
HDAC4	JUN	HDAC4_JUN
HDAC4	KLF4	HDAC4_KLF4
HDAC4	MEF2A	HDAC4_MEF2A
HDAC4	MMP13	HDAC4_MMP13
HDAC4	PTPA	HDAC4_PTPA
HDAC4	PTGES	HDAC4_PTGES
HDAC4	PTGS2	HDAC4_PTGS2
HDAC4	RECK	HDAC4_RECK
HDAC4	RUNX2	HDAC4_RUNX2
HDAC4	SLC2A4	HDAC4_SLC2A4
HDAC4	SMAD4	HDAC4_SMAD4
HDAC4	TGIF1	HDAC4_TGIF1
HDAC4	TGIF2	HDAC4_TGIF2
HDAC4	VCAM1	HDAC4_VCAM1
HDAC4	VEGFA	HDAC4_VEGFA
HDAC4	WT1	HDAC4_WT1
HDAC5	FGF2	HDAC5_FGF2
HDAC5	IGF2	HDAC5_IGF2
HDAC5	MEF2A	HDAC5_MEF2A
HDAC5	SLC2A1	HDAC5_SLC2A1
HDAC5	SLC2A4	HDAC5_SLC2A4
HDAC5	SLIT2	HDAC5_SLIT2
HDAC5	WT1	HDAC5_WT1
HDAC5	YY1	HDAC5_YY1
HDAC7	ACTN4	HDAC7_ACTN4
HDAC7	AKAP12	HDAC7_AKAP12
HDAC7	CDKN1A	HDAC7_CDKN1A
HDAC7	CYP7A1	HDAC7_CYP7A1
HDAC7	ESR1	HDAC7_ESR1
HDAC7	HDC	HDAC7_HDC
HDAC7	HIF1A	HDAC7_HIF1A
HDAC7	MAML1	HDAC7_MAML1
HDAC7	MEF2A	HDAC7_MEF2A
HDAC7	MEF2C	HDAC7_MEF2C
HDAC7	MEF2D	HDAC7_MEF2D
HDAC7	MMP10	HDAC7_MMP10
HDAC7	NR4A1	HDAC7_NR4A1
HDAC9	APP	HDAC9_APP
HDAC9	CDKN2A	HDAC9_CDKN2A
HDAC9	CFLAR	HDAC9_CFLAR
HDAC9	CITED2	HDAC9_CITED2
HDAC9	DIRAS3	HDAC9_DIRAS3
HDAC9	ESR1	HDAC9_ESR1
HDAC9	HSPA5	HDAC9_HSPA5
HDAC9	IGFBP1	HDAC9_IGFBP1
HDAC9	IL18	HDAC9_IL18
HDAC9	MEF2A	HDAC9_MEF2A
HDAC9	MMP13	HDAC9_MMP13
HDAC9	MYEF2	HDAC9_MYEF2
HDAC9	NFKB1	HDAC9_NFKB1
HDAC9	PRL	HDAC9_PRL
HDAC9	RELA	HDAC9_RELA
HDAC9	STAT6	HDAC9_STAT6
HDAC9	TNFRSF10B	HDAC9_TNFRSF10B
HDAC9	TP53	HDAC9_TP53
HDGF	CDH1	HDGF_CDH1
HDGF	FAS	HDGF_FAS
HDGF	SMYD1	HDGF_SMYD1
HDGF	VEGFA	HDGF_VEGFA
HDGF	VEGFB	HDGF_VEGFB
HDGF	VIM	HDGF_VIM
HES1	ASCL1	HES1_ASCL1
HES1	CD4	HES1_CD4
HES1	DBF4	HES1_DBF4
HES1	E2F1	HES1_E2F1
HES1	HTR1A	HES1_HTR1A
HES1	MAP2	HES1_MAP2
HES1	PTEN	HES1_PTEN
HES1	PTGDS	HES1_PTGDS
HES6	ASCL1	HES6_ASCL1
HES6	HTR1A	HES6_HTR1A
HEXIM1	CCND1	HEXIM1_CCND1
HEXIM1	VEGFA	HEXIM1_VEGFA
HEY1	ACTA2	HEY1_ACTA2
HEY1	BMP2	HEY1_BMP2
HEY1	GATA4	HEY1_GATA4
HEY1	GATA6	HEY1_GATA6
HEY1	KDR	HEY1_KDR
HEY1	OCLN	HEY1_OCLN
HEY1	PROX1	HEY1_PROX1
HEY2	ACTA2	HEY2_ACTA2
HEY2	GATA4	HEY2_GATA4
HEY2	GATA6	HEY2_GATA6
HEYL	AR	HEYL_AR
HHEX	HNF4A	HHEX_HNF4A
HHEX	SLC5A5	HHEX_SLC5A5
HHEX	TLE1	HHEX_TLE1
HIC1	ACKR3	HIC1_ACKR3
HIC1	E2F1	HIC1_E2F1
HIC1	EPHA2	HIC1_EPHA2
HIC1	LRP8	HIC1_LRP8
HIC1	MYC	HIC1_MYC
HIC1	SIRT1	HIC1_SIRT1
HIC1	STAT3	HIC1_STAT3
HIC1	VEGFA	HIC1_VEGFA
HIC1	VLDLR	HIC1_VLDLR
HIF1A	ABCB1	HIF1A_ABCB1
HIF1A	ACE	HIF1A_ACE
HIF1A	ACE2	HIF1A_ACE2
HIF1A	AGTR1	HIF1A_AGTR1
HIF1A	ALAS2	HIF1A_ALAS2
HIF1A	ALDOA	HIF1A_ALDOA
HIF1A	ALOX5AP	HIF1A_ALOX5AP
HIF1A	APEX1	HIF1A_APEX1
HIF1A	AR	HIF1A_AR
HIF1A	ARNT	HIF1A_ARNT
HIF1A	ARNT2	HIF1A_ARNT2
HIF1A	ASS1	HIF1A_ASS1
HIF1A	BAX	HIF1A_BAX
HIF1A	BID	HIF1A_BID
HIF1A	BNIP3	HIF1A_BNIP3
HIF1A	CA9	HIF1A_CA9
HIF1A	CCND1	HIF1A_CCND1
HIF1A	CCR7	HIF1A_CCR7
HIF1A	CDH1	HIF1A_CDH1
HIF1A	CTGF	HIF1A_CTGF
HIF1A	CXCL12	HIF1A_CXCL12
HIF1A	CXCR4	HIF1A_CXCR4
HIF1A	E2F3	HIF1A_E2F3
HIF1A	EDN1	HIF1A_EDN1
HIF1A	EDNRB	HIF1A_EDNRB
HIF1A	EGLN1	HIF1A_EGLN1
HIF1A	EGLN3	HIF1A_EGLN3
HIF1A	ENO1	HIF1A_ENO1
HIF1A	EPO	HIF1A_EPO
HIF1A	ERCC2	HIF1A_ERCC2
HIF1A	FAM162A	HIF1A_FAM162A
HIF1A	FGF2	HIF1A_FGF2
HIF1A	GAPDH	HIF1A_GAPDH
HIF1A	GCK	HIF1A_GCK
HIF1A	HBEGF	HIF1A_HBEGF
HIF1A	HIF1A	HIF1A_HIF1A
HIF1A	ITGB2	HIF1A_ITGB2
HIF1A	KLK3	HIF1A_KLK3
HIF1A	LDHA	HIF1A_LDHA
HIF1A	LEP	HIF1A_LEP
HIF1A	LOX	HIF1A_LOX
HIF1A	MET	HIF1A_MET
HIF1A	MICA	HIF1A_MICA
HIF1A	MIF	HIF1A_MIF
HIF1A	MMP2	HIF1A_MMP2
HIF1A	MUC1	HIF1A_MUC1
HIF1A	MUC3A	HIF1A_MUC3A
HIF1A	NR3C1	HIF1A_NR3C1
HIF1A	NR4A1	HIF1A_NR4A1
HIF1A	NT5E	HIF1A_NT5E
HIF1A	PFKFB3	HIF1A_PFKFB3
HIF1A	PFKFB4	HIF1A_PFKFB4
HIF1A	PGK1	HIF1A_PGK1
HIF1A	PIK3CA	HIF1A_PIK3CA
HIF1A	PLAU	HIF1A_PLAU
HIF1A	PPARA	HIF1A_PPARA
HIF1A	PPP1R3C	HIF1A_PPP1R3C
HIF1A	PTGES	HIF1A_PTGES
HIF1A	RECK	HIF1A_RECK
HIF1A	RORA	HIF1A_RORA
HIF1A	SDHB	HIF1A_SDHB
HIF1A	SERPINE1	HIF1A_SERPINE1
HIF1A	SETD2	HIF1A_SETD2
HIF1A	SLC29A1	HIF1A_SLC29A1
HIF1A	SLC2A1	HIF1A_SLC2A1
HIF1A	SOCS1	HIF1A_SOCS1
HIF1A	STAT3	HIF1A_STAT3
HIF1A	TERT	HIF1A_TERT
HIF1A	TFRC	HIF1A_TFRC
HIF1A	TGFB3	HIF1A_TGFB3
HIF1A	TIMP2	HIF1A_TIMP2
HIF1A	TLR2	HIF1A_TLR2
HIF1A	TLR6	HIF1A_TLR6
HIF1A	TUBB3	HIF1A_TUBB3
HIF1A	TWIST1	HIF1A_TWIST1
HIF1A	TWIST2	HIF1A_TWIST2
HIF1A	VEGFA	HIF1A_VEGFA
HIF1A	VEGFB	HIF1A_VEGFB
HIF1A	VHL	HIF1A_VHL
HIF1A	VIM	HIF1A_VIM
HIF1A	WASF3	HIF1A_WASF3
HIF1A	XPC	HIF1A_XPC
HIF1A	ZNF217	HIF1A_ZNF217
HIF3A	EPAS1	HIF3A_EPAS1
HIF3A	HIF1A	HIF3A_HIF1A
HINFP	MBD2	HINFP_MBD2
HIPK2	ABCB1	HIPK2_ABCB1
HIPK2	CDKN1A	HIPK2_CDKN1A
HIPK2	CTBP2	HIPK2_CTBP2
HIPK2	HIF1A	HIPK2_HIF1A
HIPK2	MEF2C	HIPK2_MEF2C
HIPK2	NOX1	HIPK2_NOX1
HIPK2	TP53	HIPK2_TP53
HIPK2	VEGFA	HIPK2_VEGFA
HIPK2	VIM	HIPK2_VIM
HIRA	PLB1	HIRA_PLB1
HIVEP2	HLA-A	HIVEP2_HLA-A
HIVEP2	HLA-B	HIVEP2_HLA-B
HIVEP2	HLA-C	HIVEP2_HLA-C
HIVEP2	HLA-E	HIVEP2_HLA-E
HIVEP2	HLA-F	HIVEP2_HLA-F
HIVEP2	HLA-G	HIVEP2_HLA-G
HLF	DBP	HLF_DBP
HLF	RUNX1	HLF_RUNX1
HLTF	HERC2	HLTF_HERC2
HLTF	OCA2	HLTF_OCA2
HLX	BTG1	HLX_BTG1
HLX	PAK1	HLX_PAK1
HMG20B	BRCA2	HMG20B_BRCA2
HMGA1	BRCA1	HMGA1_BRCA1
HMGA1	CD44	HMGA1_CD44
HMGA1	CDC25A	HMGA1_CDC25A
HMGA1	CDH1	HMGA1_CDH1
HMGA1	CRYAB	HMGA1_CRYAB
HMGA1	CXCL1	HMGA1_CXCL1
HMGA1	IL1B	HMGA1_IL1B
HMGA1	INSR	HMGA1_INSR
HMGA1	KL	HMGA1_KL
HMGA1	POU1F1	HMGA1_POU1F1
HMGA1	PTGS2	HMGA1_PTGS2
HMGA1	RAG2	HMGA1_RAG2
HMGA1	SLC2A3	HMGA1_SLC2A3
HMGA1	SP1	HMGA1_SP1
HMGA1	TP53	HMGA1_TP53
HMGA1	TWIST1	HMGA1_TWIST1
HMGA1	XPA	HMGA1_XPA
HMGA2	CDH1	HMGA2_CDH1
HMGA2	COL11A2	HMGA2_COL11A2
HMGA2	IGF2BP2	HMGA2_IGF2BP2
HMGA2	POU1F1	HMGA2_POU1F1
HMGA2	SNAI1	HMGA2_SNAI1
HMGB2	GFI1B	HMGB2_GFI1B
HMGB2	TNF	HMGB2_TNF
HMGN1	FOS	HMGN1_FOS
HMGN1	PCNA	HMGN1_PCNA
HMGN1	TFF1	HMGN1_TFF1
HNF1A	ACAT2	HNF1A_ACAT2
HNF1A	AKR1C4	HNF1A_AKR1C4
HNF1A	ALB	HNF1A_ALB
HNF1A	APOM	HNF1A_APOM
HNF1A	CDH17	HNF1A_CDH17
HNF1A	CRP	HNF1A_CRP
HNF1A	CSRP1	HNF1A_CSRP1
HNF1A	CYP1A2	HNF1A_CYP1A2
HNF1A	FABP1	HNF1A_FABP1
HNF1A	GPR39	HNF1A_GPR39
HNF1A	IGFBP1	HNF1A_IGFBP1
HNF1A	LCT	HNF1A_LCT
HNF1A	MTTP	HNF1A_MTTP
HNF1A	NT5E	HNF1A_NT5E
HNF1A	SLC22A10	HNF1A_SLC22A10
HNF1A	SLC22A9	HNF1A_SLC22A9
HNF1A	SLCO1B3	HNF1A_SLCO1B3
HNF1A	TM4SF1	HNF1A_TM4SF1
HNF1A	UGT1A1	HNF1A_UGT1A1
HNF1A	UGT1A10	HNF1A_UGT1A10
HNF1A	UGT1A7	HNF1A_UGT1A7
HNF1A	UGT1A8	HNF1A_UGT1A8
HNF1A	UGT1A9	HNF1A_UGT1A9
HNF1A	UGT2B17	HNF1A_UGT2B17
HNF1A	UGT2B7	HNF1A_UGT2B7
HNF1A	VEGFA	HNF1A_VEGFA
HNF1B	FXYD2	HNF1B_FXYD2
HNF1B	UMOD	HNF1B_UMOD
HNF4A	ABCC6	HNF4A_ABCC6
HNF4A	ABCG5	HNF4A_ABCG5
